id,formula,elements,family,family_reason,metal_sub_family,metal_supplier,alloy_validation,batch_size_g,max_workshop_g,scale_limit_reason,ingredients,firing_schedule,estimated_cost_eur,confidence,confidence_reason,warnings,safety_flags,db_temp_c,crystal_system,space_group,bandgap_ev
Cs1S6Zr3,Cs1S6Zr3,"{""Cs"": 1, ""S"": 6, ""Zr"": 3}",sulfide_other,general sulfide,,,,200,500,conservative default for unknown family,"[{""element"": ""Cs"", ""precursor"": ""Cs2CO3"", ""name"": ""cesium carbonate"", ""mass_g"": 54.4, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE""}, {""element"": ""Zr"", ""precursor"": ""ZrO2"", ""name"": ""zirconium dioxide"", ""mass_g"": 123.4, ""safety"": ""SAFE"", ""supplier"": ""Fisher Scientific""}, {""element"": ""S"", ""precursor"": ""S"", ""name"": ""elemental sulfur"", ""mass_g"": 64.2, ""safety"": ""MODERATE"", ""supplier"": ""garden supply (Schwefelblüte) ~€5/kg""}]","{""peak_c"": null, ""why"": ""no template""}",225.32,MEDIUM,"3 elements, 1 rare; template applicable",no precursor data for element S,Cs2CO3: DANGEROUS — EXPENSIVE; S: MODERATE — garden supply (Schwefelblüte) ~€5/kg,1000,monoclinic,C2/m,0.0023
B24Na1Nd2Pr1,B24Na1Nd2Pr1,"{""B"": 24, ""Na"": 1, ""Nd"": 2, ""Pr"": 1}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""B"", ""precursor"": ""B"", ""name"": ""boron powder"", ""mass_g"": 72.9, ""safety"": ""SAFE"", ""supplier"": """"}, {""element"": ""Na"", ""precursor"": ""Na2CO3"", ""name"": ""sodium carbonate (NEVER elemental Na)"", ""mass_g"": 14.9, ""safety"": ""SAFE"", ""supplier"": ""supermarket; NEVER use Na metal (explosive with water)""}, {""element"": ""Nd"", ""precursor"": ""Nd"", ""name"": ""neodymium metal"", ""mass_g"": 81.1, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}, {""element"": ""Pr"", ""precursor"": ""Pr"", ""name"": ""praseodymium metal"", ""mass_g"": 39.6, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",13.35,MEDIUM,"4 elements, 2 rare; template applicable",[],Nd: MODERATE — expensive; Pr: MODERATE — expensive,1200,orthorhombic,Cmmm,0.0526
Er8Ge4Si12Zr12,Er8Ge4Si12Zr12,"{""Er"": 8, ""Ge"": 4, ""Si"": 12, ""Zr"": 12}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Er"", ""precursor"": ""Er"", ""name"": ""erbium metal"", ""mass_g"": 87.4, ""safety"": ""MODERATE"", ""supplier"": ""Sigma; expensive""}, {""element"": ""Ge"", ""precursor"": ""Ge"", ""name"": ""germanium metal"", ""mass_g"": 19.0, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Si"", ""precursor"": ""Si"", ""name"": ""silicon granules"", ""mass_g"": 22.0, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",5.76,MEDIUM,"4 elements, 2 rare; template applicable",no precursor data for element Zr,Er: MODERATE — Sigma; expensive; Ge: DANGEROUS — expensive,1500,triclinic,P1,inf
Bi1Er8Ni5Y4,Bi1Er8Ni5Y4,"{""Bi"": 1, ""Er"": 8, ""Ni"": 5, ""Y"": 4}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Bi"", ""precursor"": ""Bi"", ""name"": ""bismuth metal"", ""mass_g"": 19.0, ""safety"": ""SAFE"", ""supplier"": ""low-temp alloy use""}, {""element"": ""Er"", ""precursor"": ""Er"", ""name"": ""erbium metal"", ""mass_g"": 121.9, ""safety"": ""MODERATE"", ""supplier"": ""Sigma; expensive""}, {""element"": ""Ni"", ""precursor"": ""Ni"", ""name"": ""nickel shot/powder"", ""mass_g"": 26.7, ""safety"": ""DANGEROUS"", ""supplier"": ""IARC Group 1, N95""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 32.4, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",9.62,MEDIUM,"4 elements, 1 rare; template applicable",[],"Er: MODERATE — Sigma; expensive; Ni: DANGEROUS — IARC Group 1, N95; Y: MODERATE — ",1200,orthorhombic,Immm,0.0021
Bi1Sm1Sn15Tm19,Bi1Sm1Sn15Tm19,"{""Bi"": 1, ""Sm"": 1, ""Sn"": 15, ""Tm"": 19}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Bi"", ""precursor"": ""Bi"", ""name"": ""bismuth metal"", ""mass_g"": 7.8, ""safety"": ""SAFE"", ""supplier"": ""low-temp alloy use""}, {""element"": ""Sm"", ""precursor"": ""Sm"", ""name"": ""samarium metal"", ""mass_g"": 5.6, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Sn"", ""precursor"": ""Sn"", ""name"": ""tin ingot"", ""mass_g"": 66.6, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""Tm"", ""precursor"": ""Tm"", ""name"": ""thulium metal"", ""mass_g"": 120.0, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.51,MEDIUM,"4 elements, 2 rare; template applicable",[],Sm: DANGEROUS — expensive; Tm: DANGEROUS — expensive,950,triclinic,P1,
Co4Ga1Gd4In1Tb8,Co4Ga1Gd4In1Tb8,"{""Co"": 4, ""Ga"": 1, ""Gd"": 4, ""In"": 1, ""Tb"": 8}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Co"", ""precursor"": ""Co"", ""name"": ""cobalt powder"", ""mass_g"": 20.3, ""safety"": ""MODERATE"", ""supplier"": ""IARC 2B, N95""}, {""element"": ""Ga"", ""precursor"": ""Ga"", ""name"": ""gallium metal"", ""mass_g"": 6.0, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE, China controlled""}, {""element"": ""Gd"", ""precursor"": ""Gd"", ""name"": ""gadolinium metal"", ""mass_g"": 54.2, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""In"", ""precursor"": ""In"", ""name"": ""indium metal"", ""mass_g"": 9.9, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Tb"", ""precursor"": ""Tb"", ""name"": ""terbium metal"", ""mass_g"": 109.6, ""safety"": ""DANGEROUS"", ""supplier"": ""EXTREME COST""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",10.0,LOW,"4 rare elements, speculative composition",[],"Co: MODERATE — IARC 2B, N95; Ga: DANGEROUS — EXPENSIVE, China controlled; Gd: DANGEROUS — expensive; In: DANGEROUS — expensive; Tb: DANGEROUS — EXTREME COST",1200,orthorhombic,Immm,
Er2P6Ru12Si1,Er2P6Ru12Si1,"{""Er"": 2, ""P"": 6, ""Ru"": 12, ""Si"": 1}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Er"", ""precursor"": ""Er"", ""name"": ""erbium metal"", ""mass_g"": 38.3, ""safety"": ""MODERATE"", ""supplier"": ""Sigma; expensive""}, {""element"": ""P"", ""precursor"": ""Fe3P"", ""name"": ""ferrophosphorus (liquid-phase sintering aid)"", ""mass_g"": 136.2, ""safety"": ""SAFE"", ""supplier"": ""never use elemental P — flammable""}, {""element"": ""Si"", ""precursor"": ""Si"", ""name"": ""silicon granules"", ""mass_g"": 3.2, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",3.34,MEDIUM,"4 elements, 1 rare; template applicable",no precursor data for element Ru,Er: MODERATE — Sigma; expensive,1200,hexagonal,P-6,0.0059
As1Cu4Sc3Si1,As1Cu4Sc3Si1,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
Cd4Co1Ni3Tb4Y12,Cd4Co1Ni3Tb4Y12,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
Ca4O16Ru3W1,Ca4O16Ru3W1,"{""Ca"": 4, ""O"": 16, ""Ru"": 3, ""W"": 1}",heavy_oxide_ceramic,heavy-element oxide ceramic,,,,200,500,WO3 volatility; dense ceramic heavy at scale,"[{""element"": ""Ca"", ""precursor"": ""CaCO3"", ""name"": ""calcium carbonate / limestone"", ""mass_g"": 89.0, ""safety"": ""SAFE"", ""supplier"": ""Keramik-Kraft, hardware store""}, {""element"": ""W"", ""precursor"": ""WO3"", ""name"": ""tungsten trioxide (yellow)"", ""mass_g"": 51.5, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich €40/100g; tungsten dust""}]","{""calcine_c"": 900, ""calcine_h"": 4, ""sinter_c"": 1250, ""sinter_range_c"": [1100, 1400], ""sinter_h"": 4, ""ramp_to_sinter"": ""3°C/min"", ""cool_rate"": ""3°C/min"", ""moo3_saggar_note"": ""MoO3 sublimes from ~650°C (vapor pressure significant); near-complete loss by 800°C. Closed alumina saggar with fiber gasket MANDATORY above 600°C."", ""wo3_saggar_note"": ""WO3 measurable vapor at 900°C; significant mass loss above 1000°C. Saggar recommended."", ""bi2o3_flux_opportunity"": ""Bi2O3 melts at 825°C and acts as powerful liquid-phase sintering aid. 1-5 wt% Bi2O3 lowers ZrO2 sintering from 1400-1500°C to ~900°C — enables heavy oxide ceramics in standard ABK kiln."", ""zro2_transformation_hazard"": ""ZrO2 monoclinic↔tetragonal transformation at ~1170°C causes 3.5% volume change. Pure ZrO2 cracks on cooling — must be stabilized (3 mol% Y2O3) OR use Bi2O3 liquid-phase sintering route below 1170°C."", ""why"": ""heavy-element oxides need longer holds; volatility-critical species (Mo, W, Bi) require saggar above 650°C""}",20.78,MEDIUM,standard template applied,no precursor data for element Ru,WO3: MODERATE — Sigma-Aldrich €40/100g; tungsten dust,800,triclinic,P1,0.0014
